Title,Headline,Author,Date Published
Digital Foundry |The spring mechanical keyboard shootout: four great value options put to the test,The time has come for more keyboards.,Reece Bithrey,"April 9, 2025"
Supporters |Tom and Ian have played Switch 2 - do you have any questions for them?,Inside Eurogamer recording this week.,Robert Purchese,"April 8, 2025"
"Digital Foundry |DF Direct: Do Switch and Switch 2 Virtual Game Cards point towards an ""adorably all digital"" future?",We think not - because Nintendo has the most to lose from abandoning physical sales.,Will Judd,"March 31, 2025"
A fond farewell to Katharine Castle,Eurogamer's managing editor is off to help make games.,Tom Phillips,"March 21, 2025"
"Digital Foundry |DF Weekly: if the Xbox handheld is years away, what's the point of Project Kennan?",A crucial first step in bringing Windows and Xbox together.,Richard Leadbetter,"March 17, 2025"
Power up your Gamer Network ID with our Steam Integration,"Get the latest updates on your games without lifting a finger (well, maybe one or two).",Craig Munro,"March 17, 2025"
Digital Foundry |1.6Gbps broadband reviewed: is multi-gig internet worth upgrading for?,"It's expensive and kit-heavy, but I'm not going back.",Will Judd,"March 15, 2025"
Digital Foundry |Is the AMD Ryzen 5 5600 still a smart CPU to buy in 2025?,Our favourite budget processor tested in modern games.,Reece Bithrey,"Feb. 25, 2025"
Digital Foundry |DF Direct: Crysis 4's uncertain future is a grim portent for the industry,One of the few remaining in-house engine developers takes a heavy blow.,Will Judd,"Feb. 17, 2025"
Digital Foundry |DF Direct: our weekly show celebrates 200 episodes,Plus: do we need a DF input latency rating system?,Will Judd,"Feb. 10, 2025"
Digital Foundry |DF Weekly: Doom: The Dark Ages pushes current-gen tech hard - and it looks phenomenal,New details on the latest idTech - direct from the developer.,Richard Leadbetter,"Jan. 27, 2025"
Digital Foundry |DF Weekly: can the new RTX 5070 really match RTX 4090 performance?,"Nvidia says yes, but the reality is more nuanced - and AI is doing the heavy-lifting.",Richard Leadbetter,"Jan. 13, 2025"
Digital Foundry |Nvidia announces RTX 50-series graphics cards with DLSS 4 multi frame generation,"Specs and pricing for RTX 5090, 5080, 5070 Ti and 5070.",Will Judd,"Jan. 7, 2025"
"Digital Foundry |AMD at CES 2025: RDNA 4 GPUs with FSR4, new X3D CPUs for desktops and laptops","Everything you need to know about 9950X3D, 9955HX3D and RX 9070-series.",Will Judd,"Jan. 6, 2025"
Digital Foundry |AMD announces next-gen Ryzen Z2 APUs for gaming handhelds,Three architectures in one family - but no 'Steam Deck 2' hint.,Will Judd,"Jan. 6, 2025"
Digital Foundry |DF Weekly: What does the Switch 2 motherboard leak say about system performance?,Should we be concerned about the Samsung-produced processor?,Richard Leadbetter,"Jan. 6, 2025"
Eurogamer's headed off for Christmas,And there's plenty to look forward to!,Tom Phillips,"Dec. 24, 2024"
Digital Foundry |DF Weekly: Remedy fix Alan Wake 2 on PS5 Pro with PSSR toggle and new 40fps mode,Plus: PS6 supporter questions from the final 2024 DF Direct.,Will Judd,"Dec. 23, 2024"
Digital Foundry |The winter mechanical keyboard shootout: four tiny options put to the test,It's time for another roundup.,Reece Bithrey,"Dec. 20, 2024"
Digital Foundry |Intel explains what went wrong with its new Arrow Lake desktop CPUs,"And declares four out of five identified issues ""solved"".",Will Judd,"Dec. 19, 2024"
Reminisce |Tell us your favourite PlayStation memory and win a game's worth of PS Store vouchers,UPDATE: What incredible stories! We have a winner.,Robert Purchese,"Dec. 12, 2024"
GOTY 2024 |Voting for the Eurogamer readers' top 50 games of 2024 is now open!,Have your say on this year's highlights.,Tom Phillips,"Dec. 12, 2024"
Supporters |We're taking questions for our podcast again,Is there anything you'd like to ask us?,Robert Purchese,"Dec. 3, 2024"
Digital Foundry |DF Weekly: Avatar is the latest PS5 Pro patch that looks worse than the base PS5 game,"Why is this happening, should Sony step in and can it be fixed?",Richard Leadbetter,"Dec. 2, 2024"
"We're discounting our annual membership, and we've got Citizen Sleeper to give away with it",UPDATE: Today is the last day!,Robert Purchese,"Nov. 27, 2024"
